,fiction_work,film_adaptation,film_year
660,"Frankenstein (1818), Mary Shelley","Frankenstein (1910)
Life Without Soul (1915)
Universal series
Frankenstein (1931)
* Bride of Frankenstein (1935)
** Son of Frankenstein (1939)
** * The Ghost of Frankenstein (1942)
** ** Frankenstein Meets the Wolf Man (1943)
** ** * House of Frankenstein (1944)
** ** ** House of Dracula (1945)
** ** ** * Abbott and Costello Meet Frankenstein (1948)
Hammer series
The Curse of Frankenstein (1957)
* The Revenge of Frankenstein (1958)
** The Evil of Frankenstein (1964)
** * Frankenstein Created Woman (1967)
** ** Frankenstein Must Be Destroyed (1969)
** ** * The Horror of Frankenstein (1970)
** ** ** Frankenstein and the Monster from Hell (1974)
Frankenstein 1970 (1958)
Toho series
Frankenstein Conquers the World (1965)
* The War of the Gargantuas (1966)
Dracula vs. Frankenstein (1971)
Andy Warhol's Frankenstein (1973)
Frankenstein: The True Story (1973)
Blackenstein (1973)
Young Frankenstein (1974)
The Bride (1985)
Frankenstein Unbound (1990)
Frankenstein (1994)
Monster Mash (1995)
House of Frankenstein 1997 (1997) (TV) (mini)
Van Helsing (2004)
Frankenstein (2004)
Frankenstein (2004) (TV) (mini)
Frankenstein (2007)","['1910', '1915', '1931', '1935', '1939', '1942', '1943', '1944', '1945', '1948', '1957', '1958', '1964', '1967', '1969', '1970', '1974', '1958', '1965', '1966', '1971', '1973', '1973', '1973', '1974', '1985', '1990', '1994', '1995', '1997', '2004', '2004', '2004', '2007']"
661,"Die Frau im Mond (The Woman in the Moon) (1928), Thea von Harbou",Frau im Mond (Woman in the Moon) (1929),['1929']
662,"Freaky Friday (1972), Mary Rodgers","Freaky Friday (1976)
* A Billion for Boris (1984) (TV)
** Summer Switch (1984) (TV)
Freaky Friday (1995)
Freaky Friday (2003)
* Freaky Monday (2013)","['1976', '1984', '1984', '1995', '2003', '2013']"
663,"Freedomland (1998), Richard Price",Freedomland (2006),['2006']
664,"The French Lieutenant's Woman (1969), John Fowles",The French Lieutenant's Woman (1981),['1981']
665,"Fried Green Tomatoes at the Whistle Stop Cafe (1987), Fannie Flagg",Fried Green Tomatoes (1991),['1991']
666,"Friend (1985), Diana Henstell",Deadly Friend (1986),['1986']
667,"The Friendly Persuasion (1945), Jessamyn West
* Except for Me and Thee (1955), Jessamyn West","Friendly Persuasion (1956)
Friendly Persuasion (1975)","['1956', '1975']"
668,"From Here to Eternity (1951), James Jones",From Here to Eternity (1953),['1953']
669,"From Russia, with Love (1957), Ian Fleming",From Russia with Love (1963),['1963']
670,"From the Earth to the Moon (From the Earth to the Moon) (1865), Jules Verne","A Trip to the Moon (1902)
From the Earth to the Moon (1958)
The Fabulous Baron Munchausen (1961)
Jules Verne's Rocket to the Moon (1967)
From the Earth to the Moon (1979) (TV)","['1902', '1958', '1961', '1967', '1979']"
671,"From the Terrace (1958), John O'Hara",From the Terrace (1960),['1960']
672,Funeral in Berlin (1964) Len Deighton,Funeral in Berlin (1966),['1966']
673,"Funny Farm (1985), Jay Cronley",Funny Farm (1988),['1988']
674,"The Furies (1945), Niven Busch",The Furies (1950),['1950']
675,"The Fury (1976), John Farris",The Fury (1978),['1978']
676,"The Fuzzy Pink Nightgown (1956), Sylvia Tate",The Fuzzy Pink Nightgown (1957),['1957']
678,"Game no na wa Yuukai (a.k.a. Geimu no na wa Yuukai (The Name of the Game is Kidnapping)) (2002), Keigo Higashino",G@me (2003),['2003']
679,"The Game of X (1965), Robert Sheckley",Condorman (1981),['1981']
680,"Garden of Allah (1904), Robert Smythe Hichens","The Garden of Allah (1916)
The Garden of Allah (1927)
The Garden of Allah (1936)","['1916', '1927', '1936']"
681,"The Garden of God (1923), Henry De Vere Stacpoole",Return to the Blue Lagoon (1991),['1991']
682,"Gardens of Stone (1983), Nicholas Proffitt",Gardens of Stone (1987),['1987']
683,"The Gay Sisters (1942), Stephen Longstreet",The Gay Sisters,[]
684,"Gentle Annie (1942), MacKinlay Kantor",Gentle Annie (1944),['1944']
685,"Gentlemen Prefer Blondes (1925), Anita Loos","Gentlemen Prefer Blondes (1928) (presumed lost film)
Gentlemen Prefer Blondes (1953)","['1928', '1953']"
686,"Geordie (1950), David Walker",Geordie (1955),['1955']
687,"Georgy Girl (1965), Margaret Forster",Georgy Girl (1966),['1966']
688,"Get Shorty (1990), Elmore Leonard",Get Shorty (1995),['1995']
689,"The Getaway (1959), Jim Thompson","The Getaway (1972)
The Getaway (1994)","['1972', '1994']"
690,"The Ghost (2007), Robert Harris",The Ghost Writer (2010),['2010']
691,"The Ghost and Mrs. Muir (1945), Josephine Leslie (as R. A. Dick)",The Ghost and Mrs. Muir (1947),['1947']
692,"Giant (1952), Edna Ferber",Giant (1956),['1956']
693,"Gidge (1957), Frederick Kohner",Gidget (1959),['1959']
694,"Gigi (1944), Colette","Gigi (1949)
Gigi (1958)","['1949', '1958']"
695,"The Gingerbread Man (written in 1994, yet left unpublished), John Grisham",The Gingerbread Man (1998),['1998']
696,"The Girl from Petrovka (1972), George Feifer",The Girl from Petrovka (1974),['1974']
697,"The Girl Who Leapt Through Time (1966–1967) (serial), (1967) (novel), Yasutaka Tsutsui","The Girl Who Leapt Through Time (1983)
The Girl Who Leapt Through Time (1997)
Morning Musume: Shinshun! Love Stories (2002) (TV)
The Girl Who Leapt Through Time (2006)
Time Traveller: The Girl Who Leapt Through Time (2010)","['1983', '1997', '2002', '2006', '2010']"
698,"Girl with a Pearl Earring (1999), Tracy Chevalier",Girl with a Pearl Earring (2003),['2003']
699,"The Girls' Guide to Hunting and Fishing (2000), Melissa Bank","Suburban Girl (2008)
The Girls' Guide to Hunting and Fishing (2012)","['2008', '2012']"
700,"The Glass Inferno (1974), Thomas N. Scortia and Frank M. Robinson",The Towering Inferno (1974),['1974']
701,"Glitz (1985), Elmore Leonard",Glitz (1988) (TV),['1988']
702,"Glory for Me (1945), MacKinlay Kantor",The Best Years of Our Lives (1946),['1946']
703,"Gnomes (a.k.a. Leven en werken van de Kabouter) (1977), Wil Huygen and Rien Poortvliet",Gnomes (1980),['1980']
704,"The Gnomobile (1937), Upton Sinclair",The Gnome-Mobile (1967),['1967']
705,"The Go-Between (1953), L. P. Hartley","The Go-Between (1971)
The Go-Between (2015)","['1971', '2015']"
706,"God and My Country (1954), MacKinlay Kantor","Follow Me, Boys! (1966)",['1966']
707,"The Godfather (1969), Mario Puzo","The Godfather (1972)
* The Godfather Part II (1974)
** The Godfather Part III (1990)","['1972', '1974', '1990']"
708,"Gods and Generals (1996), Jeffrey Shaara","Gettysburg (1993)
Gods and Generals (2003)","['1993', '2003']"
709,"The Gods Hate Kansas (1964), Joseph Millard",They Came from Beyond Space (1967),['1967']
710,"God's Little Acre (1933), Erskine Caldwell",God's Little Acre (1958),['1958']
711,"Gold Coast (1980), Elmore Leonard",Gold Coast (1997) (TV),['1997']
712,"Gold Mine (1970), Wilbur Smith",Gold (1974),['1974']
713,"The Golden Bowl (1904), Henry James","The Golden Bowl (1971) (TV) (mini)
The Golden Bowl (2000)","['1971', '2000']"
714,"The Golden Evenings of Summer (1971), Will Stanton",Charley and the Angel (1973),['1973']
715,"The Golden Key, or the Adventures of Buratino (1936), Aleksey Nikolayevich Tolstoy","The Adventures of Buratino (1959)
The Adventures of Buratino (1975)","['1959', '1975']"
716,"Goldfinger (1959), Ian Fleming",Goldfinger (1964),['1964']
717,"Gone with the Wind (1936), Margaret Mitchell",Gone with the Wind (1939),['1939']
718,"The Good Earth (1931), Pearl S. Buck",The Good Earth (1937),['1937']
719,"The Good German (2001), Joseph Kanon",The Good German (2006),['2006']
720,"A Good Year (2004), Peter Mayle",A Good Year (2006),['2006']
721,"Goodbye Piccadilly, Farewell Leicester Square (1969), Arthur La Bern",Frenzy (1972),['1972']
722,"Goodbye, Mr. Chips (1934), James Hilton","Goodbye, Mr. Chips (1939)
Goodbye, Mr. Chips (1969)
Goodbye, Mr. Chips (2004) (TV) (serial)
Goodbye, Mr. Chips (2004) (TV)","['1939', '1969', '2004', '2004']"
723,"Gorky Park (1981), Martin Cruz Smith",Gorky Park (1983),['1983']
724,"Grand Canary (1933), A. J. Cronin",Grand Canary (1934),['1934']
725,"The Grapes of Wrath (1939), John Steinbeck",The Grapes of Wrath (1940),['1940']
726,"The Great Bank Robbery (1969), Frank O'Rourke",The Great Bank Robbery (1969),['1969']
727,"The Great Dinosaur Robbery (1970), David Eliades and Robert Forrest Webb (as David Forrest)",One of Our Dinosaurs Is Missing (1975),['1975']
728,"Great Expectations (1860–1861) (serial) (1861) (novel), Charles Dickens","Great Expectations (1917)
Great Expectations (1922)
Great Expectations (1934)
Great Expectations (1946)
Great Expectations (1967) (TV) (mini)
Great Expectations (1974) (TV)
Great Expectations (1981) (TV) (serial)
Great Expectations (1983)
Great Expectations (1989) (TV) (mini)
Great Expectations (1998)
Great Expectations (1999) (TV)
Great Expectations (2011) (TV)","['1917', '1922', '1934', '1946', '1967', '1974', '1981', '1983', '1989', '1998', '1999', '2011']"
729,"The Great Gatsby (1925), F. Scott Fitzgerald","The Great Gatsby (1926)
The Great Gatsby (1949)
The Great Gatsby (1974)
The Great Gatsby (2000) (TV)
G (2002)
The Great Gatsby (2007)
The Great Gatsby (2013)","['1926', '1949', '1974', '2000', '2002', '2007', '2013']"
730,"The Great Man (1955), Al Morgan",The Great Man (1956),['1956']
731,"The Great Santini (1976), Pat Conroy",The Great Santini (1979),['1979']
732,"The Great Train Robbery (1975), Michael Crichton",The First Great Train Robbery (1979),['1979']
733,"The Great West That Was (1900s), William ""Buffalo Bill"" Cody","The Indians are Coming (1930) (serial)
Rustlers of Red Dog (1935) (serial)","['1930', '1935']"
734,"Green for Danger (1944), Christianna Brand",Green for Danger (1946),['1946']
735,"Green Mansions (1904), William Henry Hudson",Green Mansions (1959),['1959']
736,"The Green Mile (1996) (serial/novel), Stephen King",The Green Mile (1999),['1999']
737,"The Green Years (1944), A. J. Cronin",The Green Years (1946),['1946']
738,"The Greengage Summer (1958), Rumer Godden",The Greengage Summer (1961),['1961']
739,"Grendel (1971), John Gardner",Grendel Grendel Grendel (1981),['1981']
740,"The Grifters (1963), Jim Thompson",The Grifters (1990),['1990']
741,"The Grizzly King (1916), James Oliver Curwood",L'Ours (The Bear) (1988),['1988']
742,"Gros câlin (1974), (as Émile Ajar)",Gros câlin (1979),['1979']
743,"The Grotesque (1989), Patrick McGrath","The Grotesque (1995) (a. k. a. Grave Indiscretion, Gentlemen Don't Eat Poets)",['1995']
744,"The Group (1963), Mary McCarthy",The Group (1966),['1966']
745,"Gruesome School (1991–2006) (series), Paul van Loon",Gruesome School Trip (2005),['2005']
746,"La Guerre des boutons (The War of the Buttons) (1912), Louis Pergaud","War of the Buttons (La Guerre des boutons) (1962)
War of the Buttons (1994)","['1962', '1994']"
747,"The Guilty Head (1969), Romain Gary",Les faussaires (1994),['1994']
748,"Gulliver's Travels (1726), Jonathan Swift","Le Voyage de Gulliver à Lilliput et chez les géants (1902)
The New Gulliver (1935)
Gulliver's Travels (1939)
The Three Worlds of Gulliver (1960)
Gulliver's Travels Beyond the Moon (1965)
Gulliver's Travels (1977)
Gulliver's Travels (1996) (TV) (mini)
Gulliver's Travels (2010)","['1902', '1935', '1939', '1960', '1965', '1977', '1996', '2010']"
749,"The Guns of Navarone (1957), Alistair MacLean",The Guns of Navarone (1961),['1961']
750,"Guns of the Timberland (1955), Louis L'Amour",Guns of the Timberland (1960),['1960']
751,"The Gypsy Moths (1955), James William Drought (as James Drought)",The Gypsy Moths (1969),['1969']
753,"H.M. Pulham, Esquire (1942), John P. Marquand","H.M. Pulham, Esq. (1941)",['1941']
754,"Hababam Sınıfı (1975), Rifat Ilgaz",Hababam Sınıfı (1975),['1975']
755,"A Hall of Mirrors (1967), Robert Stone",WUSA (1970),['1970']
756,"The Hamlet (1940), William Faulkner","The Long, Hot Summer (1958)",['1958']
757,"Hammers Over the Anvil (1952), Alan Marshall",Hammers Over the Anvil (1991),['1991']
758,"The Handmaid's Tale (1985), Margaret Atwood",The Handmaid's Tale (1990),['1990']
759,"Hannibal (1999), Thomas Harris",Hannibal (2001),['2001']
760,"Happy Land (1943), MacKinlay Kantor",Happy Land (1943),['1943']
761,"Al-Haram (The Forbidden) (1961), Yusuf Idris",Al Haram (1965),['1965']
762,"The Harder They Fall (1946), Budd Schulberg",The Harder They Fall (1956),['1956']
763,"Harry Black (1956), David Walker",Harry Black (1958),['1958']
764,"Harry Potter (1997–2007) (series), J. K. Rowling
Harry Potter and the Philosopher's Stone (1997)
* Harry Potter and the Chamber of Secrets (1998)
** Harry Potter and the Prisoner of Azkaban (1999)
** * Harry Potter and the Goblet of Fire (2000)
** ** Harry Potter and the Order of the Phoenix (2003)
** ** * Harry Potter and the Half-Blood Prince (2005)
** ** ** Harry Potter and the Deathly Hallows (2007)","Harry Potter (2001–2011) (series)
Harry Potter and the Philosopher's Stone (2001)
* Harry Potter and the Chamber of Secrets (2002)
** Harry Potter and the Prisoner of Azkaban (2004)
** * Harry Potter and the Goblet of Fire (2005)
** ** Harry Potter and the Order of the Phoenix (2007)
** ** * Harry Potter and the Half-Blood Prince (2009)
** ** ** Harry Potter and the Deathly Hallows – Part 1 (2010)
** ** ** Harry Potter and the Deathly Hallows – Part 2 (2011)","['2001', '2001', '2002', '2004', '2005', '2007', '2009', '2010', '2011']"
765,"Hart's War (1999), John Katzenbach",Hart's War (2002),['2002']
766,"The Harvest (1950), Galina Nikolayeva",The Return of Vasili Bortnikov (1953),['1953']
767,"The Harvey Girls (1942), Samuel Hopkins Adams",The Harvey Girls (1946),['1946']
768,"Hating Alison Ashley (1984), Robin Klein",Hating Alison Ashley (2005),['2005']
769,"Hatter's Castle (1931), A. J. Cronin",Hatter's Castle (1942),['1942']
770,"Haunted Harbor (1944), Ewart Adamson (as Dayle Douglas)",Haunted Harbor (1944),['1944']
771,"The Haunting of Hill House (1959), Shirley Jackson","The Haunting (1963)
The Haunting (1999)","['1963', '1999']"
772,"Hawaii (1959), James A. Michener","Hawaii (1966)
* The Hawaiians (1970)","['1966', '1970']"
773,"Hawk of the Wilderness (1933), William L. Chester",Hawk of the Wilderness (1938),['1938']
774,"He Ran All the Way (1948), Sam Ross",He Ran All the Way (1951),['1951']
775,"Header (1995), Edward Lee",Header (2006),['2006']
776,"Headhunters (2001), Jules Bass",Monte Carlo (2011),['2011']
777,"The Heart of the Matter (1948), Graham Greene","The Heart of the Matter (1953)
The Heart of the Matter (1983) (TV)","['1953', '1983']"
778,"The Heaven Sword and Dragon Saber (1961), Jin Yong","Story of the Sword and the Sabre (1963–1965)
Heaven Sword and Dragon Sabre (1978)
The Hidden Power of the Dragon Sabre (1984)
Kung Fu Cult Master (1993)","['1963', '1978', '1984', '1993']"
779,"Heidi (1880), Johanna Spyri","Heidi (1937)
Heidi (1952)
* Heidi and Peter (1955)
Heidi (1959)
Heidi (1968) (TV)
The Story of Heidi (1974) (TV)
Heidi's Song (1982)
Heidi (1993) (mini)
Heidi (1996)
Heidi (2005) (animated feature film produced by Nelvana)
Heidi (2005) (live-action film directed by Paul Marcus)
Heidi 4 Paws (2008)","['1937', '1952', '1955', '1959', '1968', '1974', '1982', '1993', '1996', '2005', '2005', '2008']"
780,"Hell House (1971), Richard Matheson",The Legend of Hell House (1973),['1973']
781,"The Hellbound Heart (1986), Clive Barker",Hellraiser (1987),['1987']
782,"Heller with a Gun (1954), Louis L'Amour",Heller in Pink Tights (1960),['1960']
783,"The Help (2009), Kathryn Stockett",The Help (2011),['2011']
784,"The Heritage of the Desert (1910), Zane Grey","Heritage of the Desert (1924)
Heritage of the Desert (1932)
Heritage of the Desert (1939)","['1924', '1932', '1939']"
785,"The High and the Mighty (1953), Ernest K. Gann",The High and the Mighty (1954),['1954']
786,"High Fidelity (1995), Nick Hornby",High Fidelity (2000),['2000']
787,"The History of Mr. Polly (1910), H. G. Wells",The History of Mr. Polly (1949),['1949']
788,"The History of Tom Jones, a Foundling (1749), Henry Fielding","Tom Jones (1917)
Tom Jones (1963)
The Bawdy Adventures of Tom Jones (1976)
Tom Jones (1996) (TV)
The History of Tom Jones, a Foundling (1997) (TV)","['1917', '1963', '1976', '1996', '1997']"
789,"A History of Violence (1997), John Wagner",A History of Violence (2005),['2005']
790,"The Hitchhiker's Guide to the Galaxy (1979), Douglas Adams",The Hitchhiker's Guide to the Galaxy (2004),['2004']
791,"The Hobbit (1937), J. R. R. Tolkien","The Hobbit (1977) (TV)
The Hobbit (2012–2014) (series)
The Hobbit: An Unexpected Journey (2012)
* The Hobbit: The Desolation of Smaug (2013)
* The Hobbit: The Battle of the Five Armies (2014)","['1977', '2012', '2012', '2013', '2014']"
792,"The Holcroft Covenant (1978), Robert Ludlum",The Holcroft Covenant (1985),['1985']
793,"The Holy Innocents (1988), Gilbert Adair",The Dreamers (2003),['2003']
794,"Hombre (1961), Elmore Leonard",Hombre (1967),['1967']
795,"The Home and the World (The Home and the World) (a.k.a. ঘরে বাইরে lit. At Home and Outside) (1916), Rabindranath Tagore",Ghare Baire (1984),['1984']
796,"The Honorary Consul (1973), Graham Greene",The Honorary Consul (1983),['1983']
797,"Hopalong Cassidy (1906–1941) (series), Clarence E. Mulford",Hopalong Cassidy (1935–1938) (series),['1935']
798,"Horrid Henry (1994–2011) (series), Francesca Simon",Horrid Henry: The Movie (2011),['2011']
799,"Horseman, Pass By (1961), Larry McMurtry",Hud (1963),['1963']
800,"The Host (2008), Stephenie Meyer",The Host (2013),['2013']
801,"The Hot Rock (1970), Donald E. Westlake",The Hot Rock (1972),['1972']
802,"The Hound of the Baskervilles (1901–1902) (serial), (1902) (novel), Arthur Conan Doyle","The Hound of the Baskervilles (1921)
The Hound of the Baskervilles (1932)
The Hound of the Baskervilles (1937)
The Hound of the Baskervilles (1939)
The Hound of the Baskervilles (1959)
Bees Saal Baad (1962)
The Hound of the Baskervilles (1978)
The Hound of the Baskervilles (1981)
The Hound of the Baskervilles (2000) (TV)
The Hound of the Baskervilles (2002) (TV)","['1921', '1932', '1937', '1939', '1959', '1962', '1978', '1981', '2000', '2002']"
